code,disc_date,stock_ret,mkt_ret,short_pnl
14580,2021-01-28,0.022337,0.0117,-0.010637
15630,2021-01-28,-0.004425,0.0117,0.016125
15700,2021-01-28,0.021667,0.0117,-0.009967
13670,2021-03-18,-0.00258,-0.000959,0.001621
16710,2021-03-18,-0.074926,-0.000959,0.073967
29310,2021-03-18,-0.011566,-0.000959,0.010607
14580,2021-04-05,0.007893,0.00495,-0.002944
15680,2021-04-05,0.006805,0.00495,-0.001856
16710,2021-04-05,-0.04,0.00495,0.04495
25160,2021-04-05,-0.010363,0.00495,0.015312
13560,2021-06-28,0.017825,-0.000276,-0.018101
13670,2021-06-28,-0.016333,-0.000276,0.016057
15630,2021-06-28,0.036662,-0.000276,-0.036938
69930,2021-06-28,0.226415,-0.000276,-0.226691
15630,2021-08-27,0.022459,0.00789,-0.014569
15680,2021-09-01,0.016454,0.004891,-0.011563
16710,2021-09-01,-0.004733,0.004891,0.009624
13580,2021-10-26,0.007789,0.00326,-0.004529
15630,2021-10-26,0.011641,0.00326,-0.008381
25160,2021-11-01,0.009185,0.001777,-0.007408
13580,2021-11-04,-0.007949,-0.000383,0.007567
13680,2021-11-04,-0.004905,-0.000383,0.004523
15180,2021-11-04,0.031447,-0.000383,-0.031829
15680,2021-11-04,0.003745,-0.000383,-0.004128
13580,2021-11-16,0.012862,0.002335,-0.010526
15180,2021-11-16,-0.032616,0.002335,0.034952
29310,2021-11-16,0.064588,0.002335,-0.062253
63380,2021-11-16,0.137881,0.002335,-0.135546
16710,2021-12-22,0.026284,0.00828,-0.018004
13670,2022-01-06,-0.01716,-0.004795,0.012365
81030,2022-01-06,0.052475,-0.004795,-0.05727
14580,2022-01-26,0.003392,0.004327,0.000935
36320,2022-01-26,0.046512,0.004327,-0.042184
78590,2022-01-26,-0.006623,0.004327,0.01095
14580,2022-02-02,-0.004575,0.011191,0.015766
66590,2022-02-02,0.052381,0.011191,-0.04119
77070,2022-02-02,-0.030822,0.011191,0.042013
15680,2022-03-17,0.002219,0.003575,0.001356
78970,2022-03-17,0.027322,0.003575,-0.023747
13560,2022-03-31,0.022945,-0.0044,-0.027344
14580,2022-03-31,-0.011686,-0.0044,0.007286
15680,2022-03-31,-0.018092,-0.0044,0.013693
78590,2022-03-31,0.00565,-0.0044,-0.010049
13560,2022-05-19,-0.020417,0.011016,0.031433
15630,2022-05-19,0.032088,0.011016,-0.021072
15680,2022-05-19,0.022738,0.011016,-0.011722
15790,2022-05-19,0.023222,0.011016,-0.012206
15680,2022-05-30,0.009918,0.009279,-0.000639
15790,2022-05-30,0.014855,0.009279,-0.005576
16990,2022-05-30,0.022291,0.009279,-0.013011
13560,2022-06-09,0.010577,-0.002747,-0.013324
13670,2022-06-09,-0.015199,-0.002747,0.012452
15630,2022-06-09,-0.007276,-0.002747,0.004529
15680,2022-06-09,-0.013866,-0.002747,0.011119
15790,2022-06-09,-0.011882,-0.002747,0.009135
16710,2022-06-09,-0.007032,-0.002747,0.004285
13600,2022-06-28,-0.002851,0.001761,0.004612
15680,2022-06-28,0.005765,0.001761,-0.004004
15700,2022-06-28,0.002607,0.001761,-0.000846
13600,2022-07-12,0.020855,-0.008226,-0.029081
14580,2022-07-12,-0.0211,-0.008226,0.012874
15630,2022-07-12,-0.017943,-0.008226,0.009717
15680,2022-07-12,-0.019531,-0.008226,0.011305
15700,2022-07-12,-0.021772,-0.008226,0.013546
15790,2022-07-12,-0.020365,-0.008226,0.012139
13580,2022-08-08,0.004029,0.000451,-0.003578
14580,2022-08-08,0.005204,0.000451,-0.004753
15680,2022-08-08,0.009648,0.000451,-0.009196
91190,2022-08-08,-0.04594,0.000451,0.046391
13650,2022-09-13,-0.05168,-0.015246,0.036434
13670,2022-09-13,-0.040435,-0.015246,0.025189
14580,2022-09-13,-0.052897,-0.015246,0.03765
15680,2022-09-13,-0.0395,-0.015246,0.024254
15700,2022-09-13,-0.053185,-0.015246,0.037938
25680,2022-09-13,-0.042784,-0.015246,0.027538
32710,2022-09-13,-0.004902,-0.015246,-0.010344
13580,2022-11-01,-0.002634,-0.001172,0.001462
15680,2022-11-01,0.002503,-0.001172,-0.003675
21380,2022-11-01,-0.009804,-0.001172,0.008632
13580,2022-11-09,-0.035491,-0.004944,0.030547
13660,2022-11-09,0.035437,-0.004944,-0.040381
15680,2022-11-09,-0.027247,-0.004944,0.022303
16790,2022-11-09,-0.012676,-0.004944,0.007732
73560,2022-11-09,-0.038462,-0.004944,0.033518
76100,2022-11-09,-0.036145,-0.004944,0.031201
77070,2022-11-09,0.003929,-0.004944,-0.008873
78590,2022-11-09,0.122195,-0.004944,-0.127139
15680,2022-11-24,0.000767,0.007698,0.006932
13600,2023-01-11,-0.011865,0.006756,0.018621
15680,2023-01-11,0.013141,0.006756,-0.006385
36640,2023-01-11,0.043956,0.006756,-0.037201
15790,2023-02-16,-0.012443,0.001617,0.01406
28600,2023-02-16,0.005558,0.001617,-0.003941
35630,2023-02-16,0.056196,0.001617,-0.054579
15680,2023-04-17,0.007499,0.000183,-0.007316
15700,2023-04-17,-0.000324,0.000183,0.000507
15790,2023-04-17,-0.00121,0.000183,0.001393
86130,2023-04-17,-0.006977,0.000183,0.00716
14180,2023-04-18,-0.124113,0.001942,0.126055
15680,2023-04-18,0.007071,0.001942,-0.005129
15700,2023-04-18,0.005827,0.001942,-0.003885
15790,2023-04-18,0.006057,0.001942,-0.004115
82020,2023-04-18,0.020761,0.001942,-0.018819
13560,2023-04-25,0.016605,-0.007082,-0.023687
14580,2023-04-25,-0.014177,-0.007082,0.007095
15680,2023-04-25,-0.016176,-0.007082,0.009094
15700,2023-04-25,-0.013149,-0.007082,0.006067
15790,2023-04-25,-0.01438,-0.007082,0.007298
25160,2023-04-25,-0.016704,-0.007082,0.009622
13580,2023-05-31,-0.012673,-0.006799,0.005874
15680,2023-05-31,-0.010771,-0.006799,0.003972
15790,2023-05-31,-0.013306,-0.006799,0.006507
36640,2023-05-31,0.024691,-0.006799,-0.03149
41680,2023-05-31,0.054475,-0.006799,-0.061274
15680,2023-07-20,-0.019065,-0.003955,0.01511
15700,2023-07-20,-0.032051,-0.003955,0.028097
13580,2023-07-25,-0.002674,-0.000282,0.002392
15680,2023-07-25,0.000296,-0.000282,-0.000578
25160,2023-07-25,-0.00633,-0.000282,0.006049
